Run Number,Execution Time (ms),Best Value,Is Solution Found
1,10610,1167,true
2,9857,1167,true
3,9037,1167,true
4,5452,1167,true
5,5527,1167,true
6,5531,1167,true
7,5292,1167,true
8,5384,1167,true
9,6145,1167,true
10,6201,1167,true
11,5963,1167,true
12,5479,1167,true
13,5708,1167,true
14,5368,1167,true
15,5503,1167,true
16,5768,1167,true
17,6120,1167,true
18,5555,1167,true
19,5605,1167,true
20,5594,1167,true
21,13871,1167,true
22,8940,1167,true
23,13742,1167,true
24,6394,1167,true
25,16389,1167,true
26,6134,1167,true
27,6720,1167,true
28,5413,1167,true
29,157780,1167,true
30,17844,1167,true
31,6923,1167,true
32,57274,1167,true
33,13633,1167,true
34,7018,1167,true
35,5951,1167,true
36,7260,1167,true
37,14614,1167,true
38,8580,1167,true
39,6744,1167,true
40,7644,1167,true
41,6834,1167,true
42,5370,1167,true
43,5499,1167,true
44,9661,1167,true
45,7542,1167,true
46,7211,1167,true
47,7159,1167,true
48,8491,1167,true
49,7211,1167,true
50,9025,1167,true
51,6086,1167,true
52,5702,1167,true
53,6202,1167,true
54,6300,1167,true
55,8830,1167,true
56,6363,1167,true
57,8599,1167,true
58,6711,1167,true
59,5346,1167,true
60,5319,1167,true
61,5325,1167,true
62,5508,1167,true
63,7961,1167,true
64,8629,1167,true
65,5993,1167,true
66,12093,1167,true
67,6072,1167,true
68,5389,1167,true
69,10526,1167,true
70,10521,1167,true
71,14589,1167,true
72,14882,1167,true
73,7753,1167,true
74,11990,1167,true
75,14942,1167,true
76,8258,1167,true
77,6119,1167,true
78,5530,1167,true
79,5926,1167,true
80,5563,1167,true
81,5575,1167,true
82,7317,1167,true
83,9332,1167,true
84,11828,1167,true
85,7924,1167,true
86,7950,1167,true
87,7609,1167,true
88,13869,1167,true
89,8641,1167,true
90,7314,1167,true
91,13053,1167,true
92,7212,1167,true
93,6485,1167,true
94,6167,1167,true
95,6970,1167,true
96,8166,1167,true
97,11396,1167,true
98,25278,1167,true
99,8880,1167,true
100,5551,1167,true
